정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
동탄역(서측),55398,7-1A,동탄2차고지 - 동탄2차고지,2024-05,장애인,0,0,0,0,0,0,0,4,0,8,0,2,1,0,1,3,0,0,0,0,1,1,1,1,2,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
동탄역(서측),55398,7-1A,동탄2차고지 - 동탄2차고지,2024-05,국가유공자,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,701A,동탄2차고지 - 동탄2차고지,2024-05,일반인,0,0,0,0,0,0,0,0,3,47,5,21,4,18,12,13,11,10,14,9,34,15,22,6,43,4,49,13,32,5,93,12,98,9,34,6,72,12,40,6,20,1,0,0,0,0,0,0,
동탄역(서측),55398,701A,동탄2차고지 - 동탄2차고지,2024-05,어린이,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,2,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
동탄역(서측),55398,701A,동탄2차고지 - 동탄2차고지,2024-05,청소년,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1,1,1,1,2,0,14,2,11,1,0,3,3,0,1,4,3,4,0,2,1,1,1,0,0,0,0,0,0,
동탄역(서측),55398,701A,동탄2차고지 - 동탄2차고지,2024-05,경로,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,6,0,1,0,4,0,2,1,1,0,1,1,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,
동탄역(서측),55398,701A,동탄2차고지 - 동탄2차고지,2024-05,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
동탄역(서측),55398,709-1,서동탄역 - 서동탄역,2024-05,일반인,0,0,9,53,25,496,153,520,78,360,81,453,91,391,12,170,82,217,155,301,143,262,172,235,39,292,170,125,641,585,362,250,385,262,3,225,0,71,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,709-1,서동탄역 - 서동탄역,2024-05,어린이,0,0,0,0,0,1,1,0,1,0,0,3,0,3,1,3,2,2,2,2,1,7,2,12,0,25,1,0,7,18,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,709-1,서동탄역 - 서동탄역,2024-05,청소년,0,0,1,2,3,14,9,17,27,17,5,6,3,11,0,7,8,8,4,15,18,17,23,38,2,47,33,7,49,47,23,29,21,45,0,33,0,24,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,709-1,서동탄역 - 서동탄역,2024-05,경로,0,0,0,10,1,14,3,71,5,24,4,20,10,34,2,20,5,14,10,26,16,28,13,17,0,14,21,4,16,7,14,5,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,709-1,서동탄역 - 서동탄역,2024-05,장애인,0,0,0,1,0,2,0,1,0,1,0,2,0,2,0,2,0,4,3,0,0,0,0,2,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,709-1,서동탄역 - 서동탄역,2024-05,국가유공자,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,9,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,일반인,0,0,0,0,33,127,91,308,163,422,63,311,118,290,60,225,101,149,150,119,164,194,289,179,211,136,419,235,817,285,576,137,480,127,286,89,273,145,278,86,52,35,0,0,0,0,0,0,
동탄역(서측),55398,9,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,어린이,0,0,0,0,0,1,0,0,0,1,0,1,0,11,0,4,1,1,1,1,2,1,5,12,9,4,5,3,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,9,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,청소년,0,0,0,0,2,5,17,11,24,4,0,4,3,32,1,30,1,11,6,11,9,4,13,24,14,33,18,57,18,20,13,9,14,15,11,8,14,15,20,3,1,1,0,0,0,0,0,0,
동탄역(서측),55398,9,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,경로,0,0,0,0,3,23,2,7,9,14,8,20,22,14,8,15,19,6,14,5,13,9,14,13,19,5,20,3,21,6,17,2,11,1,5,0,6,0,3,0,1,0,0,0,0,0,0,0,
동탄역(서측),55398,9,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,장애인,0,0,0,0,0,0,0,0,1,1,0,2,1,2,0,7,1,0,0,0,1,0,1,3,0,0,2,1,6,3,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,9,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,국가유공자,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,90,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,일반인,0,0,0,0,0,0,45,16,0,0,31,11,0,0,19,4,0,0,30,3,0,0,31,9,0,0,0,0,104,13,0,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,90,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,청소년,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,90,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,경로,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,90,오산역환승센터2층(1승강장) - 오산역환승센터2층(1승강장),2024-05,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,G6010,오산역환승센터2층(2승강장) - 오산역환승센터2층(2승강장),2024-05,일반인,0,0,0,0,21,94,75,70,69,190,28,220,48,126,60,104,43,74,63,114,29,24,62,101,113,103,124,135,198,162,204,132,279,59,85,37,80,36,70,12,8,30,0,0,0,0,0,0,
동탄역(서측),55398,G6010,오산역환승센터2층(2승강장) - 오산역환승센터2층(2승강장),2024-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,G6010,오산역환승센터2층(2승강장) - 오산역환승센터2층(2승강장),2024-05,청소년,0,0,0,0,1,1,3,2,5,1,0,2,0,6,0,2,3,12,3,12,1,1,0,14,6,5,2,28,1,16,8,5,11,11,4,6,4,13,9,3,2,1,0,0,0,0,0,0,
동탄역(서측),55398,G6010,오산역환승센터2층(2승강장) - 오산역환승센터2층(2승강장),2024-05,경로,0,0,0,0,0,5,0,0,0,1,1,0,1,1,0,0,3,0,1,1,0,0,0,4,3,0,2,3,3,1,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,G6010,오산역환승센터2층(2승강장) - 오산역환승센터2층(2승강장),2024-05,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,G6010,오산역환승센터2층(2승강장) - 오산역환승센터2층(2승강장),2024-05,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,H1,동탄2차고지 - 동탄2차고지,2024-05,일반인,0,0,0,0,9,78,41,248,78,220,73,326,74,208,74,187,159,265,113,154,159,143,272,232,276,257,457,309,525,434,546,211,544,132,310,128,275,72,206,36,0,0,0,0,0,0,0,0,
동탄역(서측),55398,H1,동탄2차고지 - 동탄2차고지,2024-05,어린이,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,1,3,3,2,1,0,3,14,4,8,10,6,2,2,4,1,4,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,H1,동탄2차고지 - 동탄2차고지,2024-05,청소년,0,0,0,0,1,0,6,2,3,5,2,1,1,5,2,5,9,7,7,7,10,4,10,30,22,36,12,39,20,14,18,2,29,0,19,3,18,3,9,1,0,0,0,0,0,0,0,0,
