정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,도로명 주소
GGB233000773,양노리,37.22875,126.8596333,2023-10-16,37154,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 산 95-4
GGB233000774,삼화리.천산아파트,37.2361,126.8629333,2023-10-16,37161,31240,경기도 화성시,경기,경기 화성시 비봉면 삼화리 1118-9
GGB233000775,잿말,37.2538333,126.84885,2023-10-16,55858,31240,경기도 화성시,경기,경기 화성시 비봉면 삼화리 1335
GGB233000776,천산아파트,37.23655,126.8659667,2023-10-16,37168,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 262
GGB233000777,비봉초등학교후문.삼화3리,37.2363167,126.86815,2023-10-16,37170,31240,경기도 화성시,경기,경기 화성시 비봉면 구포리 963-3
GGB233000778,비봉중고등학교,37.2367167,126.8732167,2023-10-16,37183,31240,경기도 화성시,경기,경기 화성시 비봉면 삼화리 1318-2
GGB233000779,구포리과수원,37.24005,126.8821,2023-10-16,37207,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 823-12
GGB233000780,구포3리,37.24825,126.8920667,2023-10-16,37612,31240,경기도 화성시,경기,경기 화성시 비봉면 쌍학리 263-2
GGB233000781,천천리입구,37.24385,126.94825,2023-10-16,37321,31240,경기도 화성시,경기,경기 화성시 매송면 천천리 산 8-5
GGB233000782,삼미.쌍용아파트,37.2434333,126.9534833,2023-10-16,37325,31240,경기도 화성시,경기,경기 화성시 매송면 천천리 108-20
GGB233000783,수영오거리.봉담입구,37.23695,126.962,2023-10-16,36147,31240,경기도 화성시,경기,경기 화성시 봉담읍 수영리 228-8
GGB233000784,대진아이엠.LH3단지,37.2249667,126.9537833,2023-10-16,36134,31240,경기도 화성시,경기,경기 화성시 봉담읍 동화리 356-5
GGB233000785,동화리.동남아파트,37.2231667,126.9523,2023-10-16,36131,31240,경기도 화성시,경기,경기 화성시 봉담읍 동화리 420-21
GGB233000786,봉담읍행정복지센터,37.2203333,126.94965,2023-10-16,36122,31240,경기도 화성시,경기,경기 화성시 봉담읍 상리 25-55
GGB233000787,삼봉마을.신안인스빌,37.2178167,126.9459167,2023-10-16,36118,31240,경기도 화성시,경기,경기 화성시 봉담읍 상리 27-7
